2025-08-02_22-59-37 | Epoch 1 | D: 0.6216 | G: 1.8362 | G_KD: 0.4929 | D_KD: 0.1141
2025-08-02_22-59-37 | Epoch 30 | D: 0.6902 | G: 1.5123 | G_KD: 0.5416 | D_KD: 0.0315
2025-08-02_22-59-37 | Epoch 31 | D: 0.7023 | G: 1.7900 | G_KD: 0.5235 | D_KD: 0.0497
2025-08-02_22-59-37 | Epoch 32 | D: 0.8900 | G: 1.3765 | G_KD: 0.5203 | D_KD: 0.0492
2025-08-02_22-59-37 | Epoch 33 | D: 1.0876 | G: 1.0389 | G_KD: 0.5200 | D_KD: 0.1174
2025-08-02_22-59-37 | Epoch 34 | D: 0.6357 | G: 1.6647 | G_KD: 0.5247 | D_KD: 0.0353
2025-08-02_22-59-37 | Epoch 35 | D: 0.8693 | G: 1.1519 | G_KD: 0.5184 | D_KD: 0.0395
2025-08-02_22-59-37 | Epoch 36 | D: 0.6387 | G: 1.5801 | G_KD: 0.5143 | D_KD: 0.0359
2025-08-02_22-59-37 | Epoch 37 | D: 0.6952 | G: 1.2066 | G_KD: 0.5162 | D_KD: 0.0701
2025-08-02_22-59-37 | Epoch 38 | D: 0.8447 | G: 2.3032 | G_KD: 0.5202 | D_KD: 0.0296
2025-08-02_22-59-37 | Epoch 39 | D: 0.7992 | G: 1.6608 | G_KD: 0.5244 | D_KD: 0.0438
2025-08-02_22-59-37 | Epoch 40 | D: 0.9183 | G: 1.5311 | G_KD: 0.5468 | D_KD: 0.0280
2025-08-02_22-59-37 | Epoch 41 | D: 0.9227 | G: 1.4440 | G_KD: 0.5308 | D_KD: 0.0167
2025-08-02_22-59-37 | Epoch 42 | D: 0.7245 | G: 1.2326 | G_KD: 0.5263 | D_KD: 0.0836
2025-08-02_22-59-37 | Epoch 43 | D: 0.7375 | G: 1.0852 | G_KD: 0.5305 | D_KD: 0.1022
2025-08-02_22-59-37 | Epoch 44 | D: 0.7469 | G: 2.0057 | G_KD: 0.5274 | D_KD: 0.0208
2025-08-02_22-59-37 | Epoch 45 | D: 0.7407 | G: 1.1032 | G_KD: 0.4914 | D_KD: 0.0784
2025-08-02_22-59-37 | Epoch 46 | D: 0.9382 | G: 1.2058 | G_KD: 0.5196 | D_KD: 0.0719
2025-08-02_22-59-37 | Epoch 47 | D: 0.8659 | G: 1.1985 | G_KD: 0.5257 | D_KD: 0.0452
2025-08-02_22-59-37 | Epoch 48 | D: 0.7270 | G: 1.3246 | G_KD: 0.5271 | D_KD: 0.0888
2025-08-02_22-59-37 | Epoch 49 | D: 0.8002 | G: 1.0127 | G_KD: 0.5403 | D_KD: 0.1058
2025-08-02_22-59-37 | Epoch 50 | D: 0.8563 | G: 2.3742 | G_KD: 0.5000 | D_KD: 0.0260
2025-08-02_22-59-37 | Epoch 51 | D: 0.8838 | G: 1.9073 | G_KD: 0.5389 | D_KD: 0.0307
2025-08-02_22-59-37 | Epoch 52 | D: 0.7496 | G: 1.8208 | G_KD: 0.5094 | D_KD: 0.0281
2025-08-02_22-59-37 | Epoch 53 | D: 0.7073 | G: 1.2236 | G_KD: 0.5516 | D_KD: 0.0710
2025-08-02_22-59-37 | Epoch 54 | D: 0.5853 | G: 1.7987 | G_KD: 0.4897 | D_KD: 0.0573
2025-08-02_22-59-37 | Epoch 55 | D: 0.5944 | G: 1.3848 | G_KD: 0.5390 | D_KD: 0.0529
2025-08-02_22-59-37 | Epoch 56 | D: 0.8664 | G: 1.5031 | G_KD: 0.5198 | D_KD: 0.0302
2025-08-02_22-59-37 | Epoch 57 | D: 0.7155 | G: 1.5334 | G_KD: 0.5055 | D_KD: 0.0255
2025-08-02_22-59-37 | Epoch 58 | D: 0.7499 | G: 1.0633 | G_KD: 0.5203 | D_KD: 0.1546
2025-08-02_22-59-37 | Epoch 59 | D: 0.5478 | G: 1.5552 | G_KD: 0.5093 | D_KD: 0.0462
2025-08-02_22-59-37 | Epoch 60 | D: 0.7513 | G: 1.6796 | G_KD: 0.5267 | D_KD: 0.0223
2025-08-02_22-59-37 | Epoch 61 | D: 0.5408 | G: 1.7006 | G_KD: 0.4918 | D_KD: 0.0425
2025-08-02_22-59-37 | Epoch 62 | D: 0.7707 | G: 1.1786 | G_KD: 0.5115 | D_KD: 0.0488
2025-08-02_22-59-37 | Epoch 63 | D: 0.6943 | G: 1.1057 | G_KD: 0.5154 | D_KD: 0.0960
2025-08-02_22-59-37 | Epoch 64 | D: 0.7885 | G: 1.1807 | G_KD: 0.5383 | D_KD: 0.0385
2025-08-02_22-59-37 | Epoch 65 | D: 0.7341 | G: 1.2494 | G_KD: 0.5262 | D_KD: 0.0472
2025-08-02_22-59-37 | Epoch 66 | D: 0.7337 | G: 1.4016 | G_KD: 0.5309 | D_KD: 0.0273
2025-08-02_22-59-37 | Epoch 67 | D: 0.7205 | G: 1.7147 | G_KD: 0.5158 | D_KD: 0.0216
2025-08-02_22-59-37 | Epoch 68 | D: 0.7696 | G: 1.0065 | G_KD: 0.5197 | D_KD: 0.1375
2025-08-02_22-59-37 | Epoch 69 | D: 0.8410 | G: 1.7779 | G_KD: 0.5135 | D_KD: 0.0171
2025-08-02_22-59-37 | Epoch 70 | D: 0.6784 | G: 1.7147 | G_KD: 0.5140 | D_KD: 0.0158
2025-08-02_22-59-37 | Epoch 71 | D: 0.8051 | G: 1.1968 | G_KD: 0.5301 | D_KD: 0.0351
2025-08-02_22-59-37 | Epoch 72 | D: 0.6424 | G: 1.5068 | G_KD: 0.4815 | D_KD: 0.0252
2025-08-02_22-59-37 | Epoch 73 | D: 0.6190 | G: 1.6217 | G_KD: 0.5139 | D_KD: 0.0590
2025-08-02_22-59-37 | Epoch 74 | D: 0.6353 | G: 1.1514 | G_KD: 0.5158 | D_KD: 0.0852
2025-08-02_22-59-37 | Epoch 75 | D: 0.6115 | G: 1.7633 | G_KD: 0.5042 | D_KD: 0.0316
2025-08-02_22-59-37 | Epoch 76 | D: 0.8642 | G: 0.9764 | G_KD: 0.5174 | D_KD: 0.0846
2025-08-02_22-59-37 | Epoch 77 | D: 0.7513 | G: 1.4750 | G_KD: 0.5060 | D_KD: 0.0254
2025-08-02_22-59-37 | Epoch 78 | D: 0.8179 | G: 1.3349 | G_KD: 0.5094 | D_KD: 0.0302
2025-08-02_22-59-37 | Epoch 79 | D: 0.8232 | G: 1.3834 | G_KD: 0.5039 | D_KD: 0.0376
2025-08-02_22-59-37 | Epoch 80 | D: 0.5616 | G: 1.3040 | G_KD: 0.4786 | D_KD: 0.0781
2025-08-02_22-59-37 | Epoch 81 | D: 0.5395 | G: 1.5909 | G_KD: 0.4799 | D_KD: 0.0345
2025-08-02_22-59-37 | Epoch 82 | D: 0.7916 | G: 1.1148 | G_KD: 0.5005 | D_KD: 0.0341
2025-08-02_22-59-37 | Epoch 83 | D: 1.0108 | G: 0.7828 | G_KD: 0.4925 | D_KD: 0.1603
2025-08-02_22-59-37 | Epoch 84 | D: 0.7199 | G: 1.4982 | G_KD: 0.5168 | D_KD: 0.0232
2025-08-02_22-59-37 | Epoch 85 | D: 0.5880 | G: 1.2130 | G_KD: 0.4686 | D_KD: 0.0364
2025-08-02_22-59-37 | Epoch 86 | D: 0.7368 | G: 1.6323 | G_KD: 0.5153 | D_KD: 0.0239
2025-08-02_22-59-37 | Epoch 87 | D: 0.7099 | G: 1.3288 | G_KD: 0.4975 | D_KD: 0.0166
2025-08-02_22-59-37 | Epoch 88 | D: 0.7014 | G: 1.1307 | G_KD: 0.5107 | D_KD: 0.0708
2025-08-02_22-59-37 | Epoch 89 | D: 0.6192 | G: 1.4998 | G_KD: 0.5145 | D_KD: 0.0137
2025-08-02_22-59-37 | Epoch 90 | D: 0.6564 | G: 1.3390 | G_KD: 0.5026 | D_KD: 0.0159
2025-08-02_22-59-37 | Epoch 91 | D: 0.6137 | G: 1.4736 | G_KD: 0.5230 | D_KD: 0.0249
2025-08-02_22-59-37 | Epoch 92 | D: 0.5778 | G: 1.7308 | G_KD: 0.4978 | D_KD: 0.0216
2025-08-02_22-59-37 | Epoch 93 | D: 0.5740 | G: 1.5420 | G_KD: 0.5251 | D_KD: 0.0202
2025-08-02_22-59-37 | Epoch 94 | D: 0.6962 | G: 1.1211 | G_KD: 0.5246 | D_KD: 0.0468
2025-08-02_22-59-37 | Epoch 95 | D: 0.7353 | G: 1.1946 | G_KD: 0.4921 | D_KD: 0.0529
2025-08-02_22-59-37 | Epoch 96 | D: 0.6944 | G: 1.1304 | G_KD: 0.5193 | D_KD: 0.0618
2025-08-02_22-59-37 | Epoch 97 | D: 0.5734 | G: 1.8268 | G_KD: 0.5225 | D_KD: 0.0326
2025-08-02_22-59-37 | Epoch 98 | D: 0.6784 | G: 1.2550 | G_KD: 0.4961 | D_KD: 0.0214
2025-08-02_22-59-37 | Epoch 99 | D: 0.6798 | G: 1.8763 | G_KD: 0.5061 | D_KD: 0.0206
2025-08-02_22-59-37 | Epoch 100 | D: 0.6237 | G: 1.1674 | G_KD: 0.5031 | D_KD: 0.0514
2025-08-02_22-59-37 | Epoch 101 | D: 0.8099 | G: 1.9414 | G_KD: 0.5064 | D_KD: 0.0451
2025-08-02_22-59-37 | Epoch 102 | D: 0.6755 | G: 1.5388 | G_KD: 0.5049 | D_KD: 0.0082
2025-08-02_22-59-37 | Epoch 103 | D: 0.5061 | G: 1.3786 | G_KD: 0.4720 | D_KD: 0.0545
2025-08-02_22-59-37 | Epoch 104 | D: 0.7042 | G: 1.4506 | G_KD: 0.5032 | D_KD: 0.0423
2025-08-02_22-59-37 | Epoch 105 | D: 0.5876 | G: 1.3709 | G_KD: 0.4979 | D_KD: 0.0349
2025-08-02_22-59-37 | Epoch 106 | D: 0.8063 | G: 1.3098 | G_KD: 0.4951 | D_KD: 0.0504
2025-08-02_22-59-37 | Epoch 107 | D: 0.5805 | G: 1.4728 | G_KD: 0.5000 | D_KD: 0.0284
2025-08-02_22-59-37 | Epoch 108 | D: 0.6970 | G: 1.0851 | G_KD: 0.5347 | D_KD: 0.0515
2025-08-02_22-59-37 | Epoch 109 | D: 0.6036 | G: 1.3175 | G_KD: 0.5205 | D_KD: 0.0381
2025-08-02_22-59-37 | Epoch 110 | D: 0.7793 | G: 1.0882 | G_KD: 0.5371 | D_KD: 0.0423
2025-08-02_22-59-37 | Epoch 111 | D: 0.6252 | G: 1.5592 | G_KD: 0.4789 | D_KD: 0.0228
2025-08-02_22-59-37 | Epoch 112 | D: 0.5838 | G: 1.5866 | G_KD: 0.5172 | D_KD: 0.0208
2025-08-02_22-59-37 | Epoch 113 | D: 0.5980 | G: 1.3795 | G_KD: 0.5275 | D_KD: 0.0435
2025-08-02_22-59-37 | Epoch 114 | D: 0.5397 | G: 1.3314 | G_KD: 0.4757 | D_KD: 0.0494
2025-08-02_22-59-37 | Epoch 115 | D: 0.6954 | G: 1.2601 | G_KD: 0.4700 | D_KD: 0.0320
2025-08-02_22-59-37 | Epoch 116 | D: 0.4940 | G: 1.5491 | G_KD: 0.5003 | D_KD: 0.0389
2025-08-02_22-59-37 | Epoch 117 | D: 0.5597 | G: 1.5421 | G_KD: 0.5151 | D_KD: 0.0130
2025-08-02_22-59-37 | Epoch 118 | D: 0.6305 | G: 1.2977 | G_KD: 0.4914 | D_KD: 0.0329
2025-08-02_22-59-37 | Epoch 119 | D: 0.6096 | G: 1.1966 | G_KD: 0.5159 | D_KD: 0.0429
2025-08-02_22-59-37 | Epoch 120 | D: 0.6894 | G: 1.3212 | G_KD: 0.5065 | D_KD: 0.0118
2025-08-02_22-59-37 | Epoch 121 | D: 0.7351 | G: 1.2779 | G_KD: 0.5111 | D_KD: 0.0497
2025-08-02_22-59-37 | Epoch 122 | D: 0.6401 | G: 1.7378 | G_KD: 0.5091 | D_KD: 0.0156
2025-08-02_22-59-37 | Epoch 123 | D: 0.5498 | G: 1.3936 | G_KD: 0.4687 | D_KD: 0.0353
2025-08-02_22-59-37 | Epoch 124 | D: 0.6474 | G: 1.2671 | G_KD: 0.5284 | D_KD: 0.0470
2025-08-02_22-59-37 | Epoch 125 | D: 0.6384 | G: 1.0736 | G_KD: 0.4962 | D_KD: 0.0663
2025-08-02_22-59-37 | Epoch 126 | D: 0.6867 | G: 1.0078 | G_KD: 0.5056 | D_KD: 0.0496
2025-08-02_22-59-37 | Epoch 127 | D: 0.6110 | G: 1.5039 | G_KD: 0.5043 | D_KD: 0.0353
2025-08-02_22-59-37 | Epoch 128 | D: 0.5434 | G: 1.4767 | G_KD: 0.4866 | D_KD: 0.0247
2025-08-02_22-59-37 | Epoch 129 | D: 0.5138 | G: 1.5510 | G_KD: 0.4640 | D_KD: 0.0420
2025-08-02_22-59-37 | Epoch 130 | D: 0.6261 | G: 1.1011 | G_KD: 0.4702 | D_KD: 0.0449
2025-08-02_22-59-37 | Epoch 131 | D: 0.7531 | G: 1.4177 | G_KD: 0.4850 | D_KD: 0.0302
2025-08-02_22-59-37 | Epoch 132 | D: 0.5982 | G: 1.5369 | G_KD: 0.5403 | D_KD: 0.0218
2025-08-02_22-59-37 | Epoch 133 | D: 0.6331 | G: 1.2740 | G_KD: 0.5142 | D_KD: 0.0175
2025-08-02_22-59-37 | Epoch 134 | D: 0.7262 | G: 1.2650 | G_KD: 0.4834 | D_KD: 0.0195
2025-08-02_22-59-37 | Epoch 135 | D: 0.7863 | G: 1.6548 | G_KD: 0.4941 | D_KD: 0.0231
2025-08-02_22-59-37 | Epoch 136 | D: 0.6513 | G: 1.3125 | G_KD: 0.4914 | D_KD: 0.0349
2025-08-02_22-59-37 | Epoch 137 | D: 0.5739 | G: 1.5735 | G_KD: 0.5381 | D_KD: 0.0286
2025-08-02_22-59-37 | Epoch 138 | D: 0.5985 | G: 1.4734 | G_KD: 0.4868 | D_KD: 0.0343
2025-08-02_22-59-37 | Epoch 139 | D: 0.7887 | G: 0.9238 | G_KD: 0.4962 | D_KD: 0.0681
2025-08-02_22-59-37 | Epoch 140 | D: 0.5998 | G: 1.4068 | G_KD: 0.5154 | D_KD: 0.0162
2025-08-02_22-59-37 | Epoch 141 | D: 0.7381 | G: 1.0877 | G_KD: 0.4960 | D_KD: 0.0326
2025-08-02_22-59-37 | Epoch 142 | D: 0.4687 | G: 1.5093 | G_KD: 0.4968 | D_KD: 0.0387
2025-08-02_22-59-37 | Epoch 143 | D: 0.5934 | G: 1.2764 | G_KD: 0.4872 | D_KD: 0.0465
2025-08-02_22-59-37 | Epoch 144 | D: 0.8206 | G: 1.1283 | G_KD: 0.4913 | D_KD: 0.0146
2025-08-02_22-59-37 | Epoch 145 | D: 0.5852 | G: 1.5234 | G_KD: 0.4884 | D_KD: 0.0192
2025-08-02_22-59-37 | Epoch 146 | D: 0.5780 | G: 1.3912 | G_KD: 0.5113 | D_KD: 0.0204
2025-08-02_22-59-37 | Epoch 147 | D: 0.7380 | G: 1.0705 | G_KD: 0.4944 | D_KD: 0.0279
2025-08-02_22-59-37 | Epoch 148 | D: 0.8011 | G: 1.4218 | G_KD: 0.5075 | D_KD: 0.0177
2025-08-02_22-59-37 | Epoch 149 | D: 0.4449 | G: 1.6437 | G_KD: 0.5269 | D_KD: 0.0451
2025-08-02_22-59-37 | Epoch 150 | D: 0.6895 | G: 1.4572 | G_KD: 0.5067 | D_KD: 0.0180
2025-08-02_22-59-37 | Epoch 151 | D: 0.6915 | G: 1.1412 | G_KD: 0.5100 | D_KD: 0.0188
2025-08-02_22-59-37 | Epoch 152 | D: 0.6633 | G: 1.4163 | G_KD: 0.4718 | D_KD: 0.0115
2025-08-02_22-59-37 | Epoch 153 | D: 0.5822 | G: 1.3616 | G_KD: 0.5152 | D_KD: 0.0208
2025-08-02_22-59-37 | Epoch 154 | D: 0.5747 | G: 1.4033 | G_KD: 0.5175 | D_KD: 0.0188
2025-08-02_22-59-37 | Epoch 155 | D: 0.5479 | G: 1.6491 | G_KD: 0.5210 | D_KD: 0.0212
2025-08-02_22-59-37 | Epoch 156 | D: 0.7886 | G: 1.2092 | G_KD: 0.5195 | D_KD: 0.0132
2025-08-02_22-59-37 | Epoch 157 | D: 0.5437 | G: 1.4710 | G_KD: 0.4980 | D_KD: 0.0247
2025-08-02_22-59-37 | Epoch 158 | D: 0.7073 | G: 2.1801 | G_KD: 0.5105 | D_KD: 0.0378
2025-08-02_22-59-37 | Epoch 159 | D: 0.5330 | G: 1.2166 | G_KD: 0.5141 | D_KD: 0.0389
2025-08-02_22-59-37 | Epoch 160 | D: 0.4958 | G: 1.2876 | G_KD: 0.5153 | D_KD: 0.0400
2025-08-02_22-59-37 | Epoch 161 | D: 0.6109 | G: 1.6149 | G_KD: 0.5033 | D_KD: 0.0189
2025-08-02_22-59-37 | Epoch 162 | D: 0.5710 | G: 1.4442 | G_KD: 0.5293 | D_KD: 0.0187
2025-08-02_22-59-37 | Epoch 163 | D: 0.6377 | G: 0.9985 | G_KD: 0.5035 | D_KD: 0.0713
2025-08-02_22-59-37 | Epoch 164 | D: 0.6852 | G: 1.0704 | G_KD: 0.4776 | D_KD: 0.0283
2025-08-02_22-59-37 | Epoch 165 | D: 0.5546 | G: 1.4740 | G_KD: 0.4981 | D_KD: 0.0227
2025-08-02_22-59-37 | Epoch 166 | D: 0.6628 | G: 1.5020 | G_KD: 0.5108 | D_KD: 0.0276
2025-08-02_22-59-37 | Epoch 167 | D: 0.5086 | G: 1.5183 | G_KD: 0.4970 | D_KD: 0.0371
2025-08-02_22-59-37 | Epoch 168 | D: 0.5263 | G: 1.7060 | G_KD: 0.4803 | D_KD: 0.0193
2025-08-02_22-59-37 | Epoch 169 | D: 0.6755 | G: 1.1321 | G_KD: 0.5203 | D_KD: 0.0381
2025-08-02_22-59-37 | Epoch 170 | D: 0.5995 | G: 1.1482 | G_KD: 0.4870 | D_KD: 0.0390
2025-08-02_22-59-37 | Epoch 171 | D: 0.6573 | G: 1.7142 | G_KD: 0.4912 | D_KD: 0.0405
2025-08-02_22-59-37 | Epoch 172 | D: 0.5939 | G: 1.3360 | G_KD: 0.4866 | D_KD: 0.0237
2025-08-02_22-59-37 | Epoch 173 | D: 0.6260 | G: 1.6377 | G_KD: 0.5071 | D_KD: 0.0230
2025-08-02_22-59-37 | Epoch 174 | D: 0.4685 | G: 1.9386 | G_KD: 0.4991 | D_KD: 0.0413
2025-08-02_22-59-37 | Epoch 175 | D: 0.5731 | G: 1.4442 | G_KD: 0.4733 | D_KD: 0.0330
2025-08-02_22-59-37 | Epoch 176 | D: 0.6787 | G: 1.3397 | G_KD: 0.5633 | D_KD: 0.0125
2025-08-02_22-59-37 | Epoch 177 | D: 0.6066 | G: 1.6389 | G_KD: 0.5066 | D_KD: 0.0317
2025-08-02_22-59-37 | Epoch 178 | D: 0.6882 | G: 1.0159 | G_KD: 0.5331 | D_KD: 0.0489
2025-08-02_22-59-37 | Epoch 179 | D: 0.4828 | G: 1.8158 | G_KD: 0.4861 | D_KD: 0.0385
2025-08-02_22-59-37 | Epoch 180 | D: 0.4893 | G: 1.8853 | G_KD: 0.4676 | D_KD: 0.0473
2025-08-02_22-59-37 | Epoch 181 | D: 0.5823 | G: 1.3770 | G_KD: 0.4796 | D_KD: 0.0188
2025-08-02_22-59-37 | Epoch 182 | D: 0.5328 | G: 1.3733 | G_KD: 0.5043 | D_KD: 0.0211
2025-08-02_22-59-37 | Epoch 183 | D: 0.6702 | G: 1.3067 | G_KD: 0.4930 | D_KD: 0.0257
2025-08-02_22-59-37 | Epoch 184 | D: 0.5829 | G: 1.3577 | G_KD: 0.5046 | D_KD: 0.0152
2025-08-02_22-59-37 | Epoch 185 | D: 0.6260 | G: 1.1160 | G_KD: 0.4902 | D_KD: 0.0680
2025-08-02_22-59-37 | Epoch 186 | D: 0.6302 | G: 1.3113 | G_KD: 0.4945 | D_KD: 0.0304
2025-08-02_22-59-37 | Epoch 187 | D: 0.6734 | G: 1.0496 | G_KD: 0.4743 | D_KD: 0.0296
2025-08-02_22-59-37 | Epoch 188 | D: 0.4764 | G: 1.2828 | G_KD: 0.4611 | D_KD: 0.0391
2025-08-02_22-59-37 | Epoch 189 | D: 0.6608 | G: 1.1551 | G_KD: 0.5439 | D_KD: 0.0221
2025-08-02_22-59-37 | Epoch 190 | D: 0.7361 | G: 1.0430 | G_KD: 0.5098 | D_KD: 0.0198
2025-08-02_22-59-37 | Epoch 191 | D: 0.7565 | G: 1.6424 | G_KD: 0.5245 | D_KD: 0.0357
2025-08-02_22-59-37 | Epoch 192 | D: 0.8462 | G: 0.8833 | G_KD: 0.5488 | D_KD: 0.0537
2025-08-02_22-59-37 | Epoch 193 | D: 0.5807 | G: 1.4139 | G_KD: 0.5109 | D_KD: 0.0179
2025-08-02_22-59-37 | Epoch 194 | D: 0.6637 | G: 1.2107 | G_KD: 0.5131 | D_KD: 0.0168
2025-08-02_22-59-37 | Epoch 195 | D: 0.8966 | G: 0.7536 | G_KD: 0.4768 | D_KD: 0.0816
2025-08-02_22-59-37 | Epoch 196 | D: 0.5405 | G: 1.1415 | G_KD: 0.5078 | D_KD: 0.0330
2025-08-02_22-59-37 | Epoch 197 | D: 0.5168 | G: 1.5311 | G_KD: 0.5333 | D_KD: 0.0312
2025-08-02_22-59-37 | Epoch 198 | D: 0.6865 | G: 1.2394 | G_KD: 0.5560 | D_KD: 0.0193
2025-08-02_22-59-37 | Epoch 199 | D: 0.5271 | G: 1.3208 | G_KD: 0.4593 | D_KD: 0.0317
2025-08-02_22-59-37 | Epoch 200 | D: 0.8017 | G: 1.9669 | G_KD: 0.5468 | D_KD: 0.0573
2025-08-02_22-59-37 | Epoch 201 | D: 0.4845 | G: 1.8924 | G_KD: 0.5056 | D_KD: 0.0468
2025-08-02_22-59-37 | Epoch 202 | D: 0.4925 | G: 1.4998 | G_KD: 0.5287 | D_KD: 0.0236
2025-08-02_22-59-37 | Epoch 203 | D: 0.5168 | G: 1.3085 | G_KD: 0.5000 | D_KD: 0.0340
2025-08-02_22-59-37 | Epoch 204 | D: 0.5506 | G: 1.4551 | G_KD: 0.4806 | D_KD: 0.0363
2025-08-02_22-59-37 | Epoch 205 | D: 0.5853 | G: 1.2452 | G_KD: 0.5269 | D_KD: 0.0298
2025-08-02_22-59-37 | Epoch 206 | D: 0.4520 | G: 1.9677 | G_KD: 0.5207 | D_KD: 0.0544
2025-08-02_22-59-37 | Epoch 207 | D: 0.6900 | G: 1.2899 | G_KD: 0.4975 | D_KD: 0.0145
2025-08-02_22-59-37 | Epoch 208 | D: 0.6243 | G: 0.9373 | G_KD: 0.4671 | D_KD: 0.0761
2025-08-02_22-59-37 | Epoch 209 | D: 0.5521 | G: 1.5962 | G_KD: 0.4655 | D_KD: 0.0298
2025-08-02_22-59-37 | Epoch 210 | D: 0.6095 | G: 1.5493 | G_KD: 0.5060 | D_KD: 0.0310
2025-08-02_22-59-37 | Epoch 211 | D: 0.5432 | G: 1.1187 | G_KD: 0.4611 | D_KD: 0.0299
2025-08-02_22-59-37 | Epoch 212 | D: 0.6026 | G: 1.5741 | G_KD: 0.5044 | D_KD: 0.0288
2025-08-02_22-59-37 | Epoch 213 | D: 0.4057 | G: 2.2778 | G_KD: 0.5169 | D_KD: 0.0834
2025-08-02_22-59-37 | Epoch 214 | D: 0.5565 | G: 1.9087 | G_KD: 0.5042 | D_KD: 0.0628
2025-08-02_22-59-37 | Epoch 215 | D: 0.6363 | G: 1.1542 | G_KD: 0.5009 | D_KD: 0.0216
2025-08-02_22-59-37 | Epoch 216 | D: 0.4991 | G: 1.6670 | G_KD: 0.4915 | D_KD: 0.0368
2025-08-02_22-59-37 | Epoch 217 | D: 0.7223 | G: 1.6434 | G_KD: 0.5262 | D_KD: 0.0581
2025-08-02_22-59-37 | Epoch 218 | D: 0.5421 | G: 1.2498 | G_KD: 0.4919 | D_KD: 0.0187
2025-08-02_22-59-37 | Epoch 219 | D: 0.4916 | G: 1.4700 | G_KD: 0.5018 | D_KD: 0.0354
2025-08-02_22-59-37 | Epoch 220 | D: 0.7974 | G: 1.4043 | G_KD: 0.5096 | D_KD: 0.0297
2025-08-02_22-59-37 | Epoch 221 | D: 0.5387 | G: 1.3379 | G_KD: 0.4881 | D_KD: 0.0251
